U_FA [V],U_B [V],Ion,Mass_Target,m_meas [Th],FWHM (dm) [Th],Oscillations (n)
112.9,0.92,N2+,28.0,28.251,0.5387,99.02
112.9,0.92,O2+,32.0,30.634,0.0275,105.86
98.0,15.83,N2+,28.0,28.264,0.5225,23.94
98.0,15.83,O2+,32.0,32.265,0.5468,25.59
83.0,30.83,N2+,28.0,28.303,0.5885,17.15
83.0,30.83,O2+,32.0,32.356,0.5944,18.34
63.0,50.83,N2+,28.0,28.342,0.804,13.36
63.0,50.83,O2+,32.0,32.359,0.7741,14.28
43.0,70.83,N2+,28.0,28.296,1.0242,11.32
43.0,70.83,O2+,32.0,32.288,1.0393,12.1
23.0,90.83,N2+,28.0,28.303,1.2861,9.99
3.0,110.83,N2+,28.0,28.166,1.4608,9.05
