U_FA [V],U_B [V],Ion,Mass_Target,m_meas [Th],FWHM (dm) [Th],Oscillations (n)
112.9,0.92,N2+,28.0,28.251,0.5347,99.02
112.9,0.92,O2+,32.0,32.288,0.5265,105.86
98.0,15.83,N2+,28.0,28.264,0.5186,23.94
98.0,15.83,O2+,32.0,32.265,0.5468,25.59
83.0,30.83,N2+,28.0,28.303,0.5656,17.15
83.0,30.83,O2+,32.0,32.356,0.5891,18.34
63.0,50.83,N2+,28.0,28.342,0.71,13.36
63.0,50.83,O2+,32.0,32.359,0.7068,14.28
43.0,70.83,N2+,28.0,28.296,0.8312,11.32
43.0,70.83,O2+,32.0,32.288,0.8437,12.1
23.0,90.83,N2+,28.0,28.303,0.9284,9.99
23.0,90.83,O2+,32.0,32.193,1.0143,10.68
3.0,110.83,N2+,28.0,28.166,1.0657,9.05
3.0,110.83,O2+,32.0,32.177,1.2754,9.67
